version,nBlocks,reserved0,blockId_01,jammingState_01,antStatus_01,antPower_01,postStatus_01,reserved1_01,noisePerMS_01,agcCnt_01,jamInd_01,ofsI_01,magI_01,ofsQ_01,magQ_01,reserved2_01,blockId_02,jammingState_02,antStatus_02,antPower_02,postStatus_02,reserved1_02,noisePerMS_02,agcCnt_02,jamInd_02,ofsI_02,magI_02,ofsQ_02,magQ_02,reserved2_02
0,2,0,0,0,1,2,0,0,98,3861,13,21,238,-11,186,0,1,0,1,2,0,0,50,3159,3,11,151,5,211,0
0,2,0,0,0,1,2,0,0,98,3861,11,-1,206,-12,177,0,1,0,1,2,0,0,47,3159,3,9,68,3,55,0
0,2,0,0,0,1,2,0,0,99,3861,10,6,218,-12,208,0,1,0,1,2,0,0,47,3159,3,51,139,-27,97,0
0,2,0,0,0,1,2,0,0,98,3861,11,46,255,-32,255,0,1,0,1,2,0,0,44,3159,2,14,86,-15,82,0
0,2,0,0,0,1,2,0,0,98,3510,10,12,162,1,137,0,1,0,1,2,0,0,50,3510,3,17,159,-1,160,0
0,2,0,0,0,1,2,0,0,91,3159,5,16,135,0,136,0,1,0,1,2,0,0,46,3510,3,7,193,-38,174,0
0,2,0,0,0,1,2,0,0,85,3159,7,16,137,-22,148,0,1,0,1,2,0,0,46,3510,4,12,156,-13,147,0
0,2,0,0,0,1,2,0,0,85,3159,3,-16,154,14,136,0,1,0,1,2,0,0,46,3510,3,1,169,-6,150,0
0,2,0,0,0,1,2,0,0,85,3159,7,-1,124,-9,84,0,1,0,1,2,0,0,46,3510,4,22,175,-44,214,0
0,2,0,0,0,1,2,0,0,92,3510,6,12,255,-8,228,0,1,0,1,2,0,0,46,3510,5,13,157,0,159,0
0,2,0,0,0,1,2,0,0,98,3510,7,9,148,-9,109,0,1,0,1,2,0,0,46,3510,3,-3,231,20,178,0
0,2,0,0,0,1,2,0,0,98,3510,9,2,181,0,249,0,1,0,1,2,0,0,43,3159,2,1,220,-15,255,0
0,2,0,0,0,1,2,0,0,98,3510,6,31,189,-17,169,0,1,0,1,2,0,0,46,3159,4,9,169,17,158,0
0,2,0,0,0,1,2,0,0,98,3510,10,-23,181,-10,117,0,1,0,1,2,0,0,46,3159,4,-6,85,6,50,0
0,2,0,0,0,1,2,0,0,97,3510,6,-16,144,-5,113,0,1,0,1,2,0,0,46,3159,4,11,155,-15,179,0
0,2,0,0,0,1,2,0,0,91,3861,7,-14,113,-10,111,0,1,0,1,2,0,0,49,3159,4,20,184,2,154,0
0,2,0,0,0,1,2,0,0,91,3510,4,-1,154,-2,138,0,1,0,1,2,0,0,49,3159,5,28,193,7,248,0
0,2,0,0,0,1,2,0,0,91,3510,8,0,252,-7,255,0,1,0,1,2,0,0,46,3159,4,14,206,-12,223,0
0,2,0,0,0,1,2,0,0,91,3159,6,-9,213,-42,255,0,1,0,1,2,0,0,46,3159,3,-10,212,24,180,0
0,2,0,0,0,1,2,0,0,85,3159,4,-12,183,-24,177,0,1,0,1,2,0,0,43,3159,3,8,166,-12,149,0
0,2,0,0,0,1,2,0,0,79,3159,4,13,92,0,60,0,1,0,1,2,0,0,43,3159,4,26,171,-9,224,0
0,2,0,0,0,1,2,0,0,84,3159,5,3,170,-3,159,0,1,0,1,2,0,0,43,3159,4,5,132,2,209,0
0,2,0,0,0,1,2,0,0,90,3159,4,22,133,-3,132,0,1,0,1,2,0,0,40,3159,3,1,148,-14,129,0
0,2,0,0,0,1,2,0,0,90,3159,4,2,67,13,118,0,1,0,1,2,0,0,40,3159,3,20,178,-26,125,0
0,2,0,0,0,1,2,0,0,84,3510,13,13,255,4,255,0,1,0,1,2,0,0,40,3159,2,0,169,-3,136,0
0,2,0,0,0,1,2,0,0,89,3159,9,30,202,-12,232,0,1,0,1,2,0,0,40,3159,4,1,223,-18,204,0
0,2,0,0,0,1,2,0,0,83,3159,5,1,135,3,129,0,1,0,1,2,0,0,40,3159,4,6,154,-32,195,0
