iTOW,version,posCovValid,velCovValid,reserved0,posCovNN,posCovNE,posCovND,posCovEE,posCovED,posCovDD,velCovNN,velCovNE,velCovND,velCovEE,velCovED,velCovDD
93939000,0,1,1,1171368248954360692736,2.589611053466797,-1.2701587677001953,3.9163835048675537,6.2670488357543945,-6.413084506988525,21.276268005371094,0.01567317172884941,-0.0055180760100483894,0.013643648475408554,0.02777138352394104,-0.011041494086384773,0.06557673960924149
93940000,0,1,1,1171368248954360692736,2.5334253311157227,-1.2338182926177979,3.81345534324646,6.085958480834961,-6.149326801300049,20.719398498535156,0.01740051805973053,-0.00610548909753561,0.016665957868099213,0.031634505838155746,-0.014986425638198853,0.07791723310947418
93941000,0,1,1,1171368248954360692736,2.5199832916259766,-1.2277065515518188,3.7894492149353027,5.92819881439209,-5.926203727722168,20.39369773864746,0.023049471899867058,-0.011455048806965351,0.019289754331111908,0.0401141420006752,-0.015493898652493954,0.09075429290533066
93942000,0,1,1,1171368248954360692736,2.44950270652771,-1.1899981498718262,3.6512210369110107,5.701924800872803,-5.595021724700928,19.618404388427734,0.012787275947630405,-0.005112056620419025,0.012633584439754486,0.014229838736355305,0.002806264441460371,0.04982706904411316
93943000,0,1,1,1171368248954360692736,2.373960018157959,-1.1575968265533447,3.532034397125244,5.475307464599609,-5.337425231933594,18.944965362548828,0.011946962215006351,-0.005750864278525114,0.012366147711873055,0.020625421777367592,-0.012647157534956932,0.05712912976741791
93944000,0,1,1,1171368248954360692736,2.3095316886901855,-1.1269164085388184,3.4215080738067627,5.266078948974609,-5.081106662750244,18.282657623291016,0.010399744845926762,-0.0036534639075398445,0.008961578831076622,0.012338691391050816,0.0006193593144416809,0.040675848722457886
93945000,0,1,1,1171368248954360692736,2.2673094272613525,-1.1174051761627197,3.3542733192443848,5.086698055267334,-4.881481170654297,17.73442268371582,0.011157368309795856,-0.0049159773625433445,0.009254202246665955,0.012628838419914246,-0.004179801791906357,0.04237639904022217
93946000,0,1,1,1171368248954360692736,2.2221384048461914,-1.1007152795791626,3.2784080505371094,4.923879623413086,-4.701669692993164,17.206418991088867,0.012128082104027271,-0.004020721185952425,0.011510796844959259,0.013801107183098793,-0.003320409683510661,0.04037971794605255
93947000,0,1,1,1171368248954360692736,2.178475856781006,-1.0867924690246582,3.2028679847717285,4.769492149353027,-4.532994270324707,16.697017669677734,0.010574757121503353,-0.003678784007206559,0.008556274697184563,0.012370915152132511,-0.0016200016252696514,0.03748757392168045
93948000,0,1,1,1171368248954360692736,2.148933172225952,-1.0781593322753906,3.1474084854125977,4.643764495849609,-4.382462024688721,16.290849685668945,0.01539612002670765,-0.006270706653594971,0.011121785268187523,0.019048182293772697,-0.0025190631859004498,0.04800674691796303
93949000,0,1,1,1171368248954360692736,2.127053737640381,-1.0701723098754883,3.103013515472412,4.530801296234131,-4.238975524902344,15.92208480834961,0.015609628520905972,-0.006589298602193594,0.012429396621882915,0.019839132204651833,-0.0077820816077291965,0.054531775414943695
93950000,0,1,1,1171368248954360692736,2.101492166519165,-1.0637811422348022,3.055203914642334,4.4130659103393555,-4.111452102661133,15.544329643249512,0.01448211632668972,-0.006120249163359404,0.012839394621551037,0.01730857603251934,-0.0078101432882249355,0.05029280483722687
93951000,0,1,1,1171368248954360692736,2.072979211807251,-1.060262680053711,3.0070431232452393,4.276846885681152,-3.9822134971618652,15.172904968261719,0.0132064837962389,-0.00605238601565361,0.01148430909961462,0.016003575176000595,-0.00768478075042367,0.04697367176413536
93952000,0,1,1,1171368248954360692736,2.048675060272217,-1.0570154190063477,2.965848684310913,4.159532070159912,-3.870039224624634,14.84560489654541,0.01354808546602726,-0.005546642001718283,0.01092548854649067,0.012632615864276886,-0.0021738391369581223,0.03972642868757248
93953000,0,1,1,1171368248954360692736,2.0345618724823,-1.0558110475540161,2.943882942199707,4.041658878326416,-3.7662570476531982,14.541220664978027,0.012199879623949528,-0.00398183474317193,0.009659991599619389,0.010029221884906292,-0.003684587776660919,0.03339222073554993
93954000,0,1,1,1171368248954360692736,2.0217490196228027,-1.0528305768966675,2.9247117042541504,3.9364607334136963,-3.6767971515655518,14.262161254882812,0.014623824506998062,-0.0055442978627979755,0.012509449385106564,0.014956900849938393,-0.008953439071774483,0.04342681169509888
93955000,0,1,1,1171368248954360692736,1.9960336685180664,-1.0527622699737549,2.873764991760254,3.8431591987609863,-3.6021974086761475,13.934185028076172,0.012256625108420849,-0.005035152658820152,0.010206854902207851,0.015449878759682178,-0.009159302338957787,0.03975967317819595
93956000,0,1,1,1171368248954360692736,1.9839613437652588,-1.0513921976089478,2.843341112136841,3.750575065612793,-3.523425579071045,13.655834197998047,0.014594760723412037,-0.005271937698125839,0.009882333688437939,0.01137840561568737,-0.002367765409871936,0.03544188290834427
93957000,0,1,1,1171368248954360692736,1.9878290891647339,-1.0502517223358154,2.8396425247192383,3.6573050022125244,-3.437509059906006,13.43132209777832,0.01913553662598133,-0.0049489447847008705,0.014869892969727516,0.00984266959130764,0.0005653414409607649,0.036811891943216324
93958000,0,1,1,1171368248954360692736,1.9810420274734497,-1.0467525720596313,2.8152589797973633,3.582552909851074,-3.3589425086975098,13.185110092163086,0.015756800770759583,-0.005571105983108282,0.010586973279714584,0.015121329575777054,-0.0031395000405609608,0.04193464294075966
93959000,0,1,1,1171368248954360692736,1.964964509010315,-1.0433571338653564,2.7764499187469482,3.516240119934082,-3.280512571334839,12.937651634216309,0.015152565203607082,-0.006841079331934452,0.010314509272575378,0.019490927457809448,-0.006743796169757843,0.0466495081782341
93960000,0,1,1,1171368248954360692736,1.9524204730987549,-1.0426872968673706,2.7394843101501465,3.4661340713500977,-3.2173240184783936,12.727275848388672,0.018439626321196556,-0.008636638522148132,0.010206581093370914,0.023392904549837112,-0.0075284382328391075,0.05439973995089531
93961000,0,1,1,1171368248954360692736,1.9328279495239258,-1.036457896232605,2.6966443061828613,3.4239563941955566,-3.1594598293304443,12.546976089477539,0.01155949104577303,-0.005086652003228664,0.007366963662207127,0.02125479280948639,-0.008565791882574558,0.04955780506134033
93962000,0,1,1,1171368248954360692736,1.8994669914245605,-1.0243570804595947,2.6405599117279053,3.392426013946533,-3.125870704650879,12.399636268615723,0.014037122018635273,-0.006083258427679539,0.009902236051857471,0.024737272411584854,-0.015741106122732162,0.06273376196622849
93963000,0,1,1,1171368248954360692736,1.855238437652588,-0.9986040592193604,2.574774742126465,3.336024284362793,-3.059255361557007,12.190713882446289,0.011719008907675743,-0.004074317868798971,0.009845235385000706,0.024330727756023407,-0.014136896468698978,0.06207410991191864
93964000,0,1,1,1171368248954360692736,1.7989552021026611,-0.9693050980567932,2.488246440887451,3.2642717361450195,-2.979398488998413,11.8849515914917,0.006441931240260601,-0.0025500268675386906,0.005868644453585148,0.010558742098510265,-0.008528286591172218,0.03593260049819946
93965000,0,1,1,1171368248954360692736,1.7630081176757812,-0.9525241255760193,2.428576946258545,3.205857753753662,-2.911411762237549,11.654580116271973,0.012478187680244446,-0.005459563806653023,0.008155317045748234,0.018037736415863037,-0.007098744157701731,0.04627251625061035
93966000,0,1,1,1171368248954360692736,1.7384300231933594,-0.9401984810829163,2.380218982696533,3.1595892906188965,-2.850022792816162,11.469625473022461,0.015172169543802738,-0.006451683584600687,0.009791458025574684,0.024464121088385582,-0.010558935813605785,0.05907744914293289
93967000,0,1,1,1171368248954360692736,1.7125840187072754,-0.9286344051361084,2.3308424949645996,3.1234381198883057,-2.801877975463867,11.309549331665039,0.01395758893340826,-0.006436697207391262,0.009125616401433945,0.027625232934951782,-0.012110214680433273,0.06029199808835983
93968000,0,1,1,1171368248954360692736,1.6789915561676025,-0.9133274555206299,2.2740321159362793,3.0701887607574463,-2.7331676483154297,11.090852737426758,0.00891494657844305,-0.004615750163793564,0.0064459629356861115,0.01649366319179535,-0.006955489981919527,0.04192207753658295
93969000,0,1,1,1171368248954360692736,1.6489136219024658,-0.899756669998169,2.2301406860351562,3.0510339736938477,-2.71299409866333,11.006926536560059,0.01382219884544611,-0.0063118962571024895,0.008612331002950668,0.039572469890117645,-0.018241973593831062,0.07439257204532623
93970000,0,1,1,1171368248954360692736,1.625931978225708,-0.8859306573867798,2.192807912826538,3.05172061920166,-2.7010397911071777,10.959281921386719,0.016076060011982918,-0.005932686850428581,0.011303143575787544,0.038649898022413254,-0.01764787919819355,0.07807941734790802
93971000,0,1,1,1171368248954360692736,1.6113612651824951,-0.8805822134017944,2.167414665222168,3.0134661197662354,-2.7395706176757812,10.873148918151855,0.016371585428714752,-0.006755025591701269,0.01325814425945282,0.03913696110248566,-0.015402328222990036,0.08264654874801636
93972000,0,1,1,1171368248954360692736,1.5992109775543213,-0.8723100423812866,2.151421546936035,2.9546492099761963,-2.679044246673584,10.660282135009766,0.015552014112472534,-0.005529801826924086,0.014181280508637428,0.030513659119606018,-0.015686430037021637,0.07485783100128174
93973000,0,1,1,1171368248954360692736,1.585373878479004,-0.8626797199249268,2.1515800952911377,2.871246814727783,-2.6358911991119385,10.468632698059082,0.01439611241221428,-0.0060234772972762585,0.015068000182509422,0.027212079614400864,-0.012571684084832668,0.07222092151641846
93974000,0,1,1,1171368248954360692736,1.5722601413726807,-0.8450919985771179,2.1427526473999023,2.815568685531616,-2.529294729232788,10.32138442993164,0.014994299970567226,-0.005170128308236599,0.015487026423215866,0.029290666803717613,-0.005205792374908924,0.07056526839733124
93975000,0,1,1,1171368248954360692736,1.5749727487564087,-0.8375340700149536,2.151482105255127,2.817492723464966,-2.4826111793518066,10.391136169433594,0.01881616935133934,-0.0074613140895962715,0.014565495774149895,0.04582398384809494,-0.00504926685243845,0.08235214650630951
93976000,0,1,1,1171368248954360692736,1.5822604894638062,-0.8374606370925903,2.169140577316284,2.841503381729126,-2.4657182693481445,10.47725772857666,0.01677321270108223,-0.007619061972945929,0.015750102698802948,0.04955490678548813,-0.011514993384480476,0.08322403579950333
93977000,0,1,1,1171368248954360692736,1.5852348804473877,-0.8317449688911438,2.1909255981445312,2.8547282218933105,-2.444108247756958,10.561505317687988,0.019510287791490555,-0.006854323670268059,0.017789926379919052,0.04545757174491882,-0.011825370602309704,0.08724331855773926
93978000,0,1,1,1171368248954360692736,1.5926681756973267,-0.8343913555145264,2.219348192214966,2.8665690422058105,-2.44844126701355,10.623405456542969,0.019089702516794205,-0.008294560946524143,0.018473856151103973,0.046585023403167725,-0.014807690866291523,0.08424130827188492
93979000,0,1,1,1171368248954360692736,1.567575454711914,-0.8059961795806885,2.211704730987549,2.807971477508545,-2.341449737548828,10.441438674926758,0.01753830723464489,-0.006707394029945135,0.01716998964548111,0.03304292634129524,-0.008162318728864193,0.07493635267019272
