gnssId,svId,sigId,freqId,numWords,chn,version,reserved0,dwrd_01,dwrd_02,dwrd_03,dwrd_04
5,3,4,0,10,94,2,0,2332942825,815952898,2315210545,4294723584
5,4,4,0,10,85,2,0,2333204969,815952898,2315232465,4294821889
3,23,0,0,10,11,2,0,948969826,994623459,150955401,801686412
3,37,0,0,10,24,2,0,948969826,994622694,486496176,781216970
3,38,0,0,10,7,2,0,948969826,994581730,64801646,1019408063
3,6,0,0,10,26,2,0,948969826,994591457,771466330,918560049
3,8,2,0,10,68,2,32,948969826,994578918,48122829,499845823
3,16,0,0,10,10,2,0,948969826,994590446,1073417971,371268231
3,8,0,0,10,6,2,0,948969826,994578918,48122829,499845823
3,8,2,0,10,68,2,0,948969826,994578918,48122829,499845823
3,13,0,0,10,8,2,0,948969826,994580718,48265299,187589845
2,29,1,0,8,36,2,0,88530624,51412383,1879747629,3702161408
2,26,1,0,8,38,2,0,88530624,51411966,3893013549,3702161408
2,21,1,0,8,22,2,32,88530624,51380288,403352621,3702161408
2,27,1,0,8,23,2,0,88530624,51380288,403352621,3702161408
1,137,0,0,8,19,2,0,3328467208,67371264,2147483648,512
6,9,0,5,4,14,2,0,714702848,270336,2099200,45809665
6,9,2,5,4,89,2,32,714702848,270336,2099200,45809665
2,27,5,0,8,72,2,32,9786709,1431655765,1431655765,1431846912
2,21,5,0,8,71,2,32,9786709,1431655765,1431655765,1431846912
1,137,0,0,8,19,2,32,1399933196,1155743808,134217728,1069287936
6,9,2,5,4,89,2,0,714702848,270336,2099200,45809665
2,27,5,0,8,72,2,32,9786709,1431655765,1431655765,1431846912
2,21,5,0,8,71,2,0,9786709,1431655765,1431655765,1431846912
2,29,1,0,8,36,2,32,9786709,1431655765,1431655765,1431846912
2,26,1,0,8,38,2,0,9786709,1431655765,1431655765,1431846912
2,21,1,0,8,22,2,0,9786709,1431655765,1431655765,1431846912
2,27,1,0,8,23,2,0,9786709,1431655765,1431655765,1431846912
1,137,0,0,8,19,2,0,2586326537,2227700016,1682818360,5979312
0,23,0,0,10,0,2,0,583095850,2275732900,294084157,2387042214
0,25,0,0,10,1,2,0,583095850,2275732900,294084783,327638858
0,12,0,0,10,18,2,86,583095850,2275732900,294084157,2387042128
6,9,2,5,4,89,2,32,889998612,2806032988,127117312,45809665
6,9,0,5,4,14,2,86,889998612,2806032988,127117312,45809665
6,9,2,5,4,89,2,0,889998612,2806032988,127117312,45809665
6,21,0,11,4,13,2,0,889998345,2002823800,125489152,45809665
2,27,5,0,8,72,2,32,9786709,1431655765,1431655765,1431846912
5,3,0,0,10,37,2,0,583051905,2275730763,808102534,2863311509
2,27,5,0,8,72,2,0,9786709,1431655765,1431655765,1431846912
2,21,5,0,8,71,2,32,9786709,1431655765,1431655765,1431846912
1,137,0,0,8,19,2,0,3322765308,6290943,3221356511,4261404668
2,21,5,0,8,71,2,175,9786709,1431655765,1431655765,1431846912
2,29,1,0,8,36,2,0,282537480,228592947,4023024161,2482864128
2,26,1,0,8,38,2,0,270497971,1347277022,3780977579,3825319936
2,27,1,0,8,23,2,0,272180479,2746544265,2148536415,4294098944
2,21,1,0,8,22,2,0,271085311,2343898761,2149568328,1676967936
1,137,0,0,8,19,2,0,1393123325,4292869631,3757965279,4261404668
6,9,2,5,4,89,2,32,956465929,2855583873,437641216,45809665
2,21,5,0,8,71,2,32,17237518,3734159432,750745,2852438016
6,21,2,11,4,90,2,32,956828259,2838806673,706156544,45809665
2,27,5,0,8,72,2,32,17237518,127316240,2036121,2852438016
6,9,0,5,4,14,2,144,956465929,2855583873,437641216,45809665
6,9,2,5,4,89,2,0,956465929,2855583873,437641216,45809665
2,21,5,0,8,71,2,0,17237518,3734159432,750745,2852438016
6,21,2,11,4,90,2,32,956828259,2838806673,706156544,45809665
2,27,5,0,8,72,2,0,17237518,127316240,2036121,2852438016
1,137,0,0,8,19,2,0,2584829949,4292869631,3757834335,4261404669
3,23,0,0,10,11,2,231,948973933,996240662,676131818,352714900
3,38,0,0,10,7,2,0,948973933,996240662,676532144,201785371
3,8,2,0,10,68,2,32,948973933,996240662,676878219,828506269
3,16,0,0,10,10,2,0,948973933,996240662,676230121,535003196
